id,tahun,source,jenis_bansos,question,answer,length
116,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Siapa yang mengoordinasikan penanganan fakir miskin di setiap tingkat pemerintahan?,"Menteri di tingkat nasional, gubernur di provinsi, dan bupati atau walikota di kabupaten kota.",177
117,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa itu fakir miskin?,Fakir miskin adalah orang yang tidak memiliki penghasilan atau penghasilannya tidak cukup untuk memenuhi kebutuhan dasar layak bagi dirinya dan keluarganya.,177
118,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Apa periode yang terlibat dalam penyaluran bantuan sosial?,"Periode dalam penyaluran bantuan sosial terdiri atas penyampaian usulan, verifikasi kelayakan, penetapan dan penyaluran.",178
119,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Bagaimana prosedur calon peserta PBI Jaminan Kesehatan yang tidak terdaftar dalam DTKS?,Calon peserta PBI jaminan kesehatan yang tidak terdaftar dalam data terpadu dapat diusulkan.,179
120,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa persyaratan untuk penutupan rekening dan pemusnahan KKS?,Penutupan rekening dan pemusnahan KKS hanya boleh dilakukan setelah mendapat persetujuan unit kerja yang menangani PKH.,179
121,2024,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 95/5/SK/HK.01/04/2024,BPNT,Apa kriteria KPM Program Sembako?,Penerima program sembako adalah fakir miskin yang terdaftar di DTKS dan memiliki NIK yang sudah dipadankan dengan data dirjen dukcapil kemendagri.,179
122,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa itu SIKSNG?,"SIKSNG adalah sistem informasi yang mengumpulkan, mengolah, menyajikan, dan menyebarkan DTKS secara berjenjang dan berkesinambungan menggunakan teknologi informasi.",179
123,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Kapan dilakukan perubahan data terkait program PBI?,Perubahan data diverifikasi dan divalidasi oleh menteri setiap enam bulan dalam tahun anggaran berjalan sebelum ditetapkan resmi.,180
124,2025,Keputusan Direktur Jaminan Sosial Nomor 59/3.4/HK.01/1/2025,PKH,Apa besaran bantuan yang diterima penyandang disabilitas dalam program PKH?,Penyandang disabilitas menerima bantuan sebesar Rp2.400.000 setiap tahun atau Rp600.000 setiap tiga bulan.,181
125,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa sanksi yang diberikan jika KPM tidak memenuhi kewajibannya?,"Jika KPM tidak menjalankan kewajibannya, akan diberikan sanksi berupa penangguhan atau penghentian bantuan sosial PKH.",181
126,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa sumber daya yang diperlukan dalam penanganan fakir miskin?,"Sumber daya yang diperlukan meliputi sumber daya manusia, sarana dan prasarana, sumber pendanaan, dan sumber daya alam.",181
127,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Apa yang dilakukan jika ada data dengan 2 NIK pada DTKS?,Perbaikan data dengan 2 NIK dilakukan dengan memilih NIK yang sesuai data dukcapil melalui aplikasi SIKSNG oleh dinas sosial.,181
128,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Siapa yang memverifikasi dan memvalidasi hasil pendataan fakir miskin dan orang tidak mampu pada program PBI?,Menteri memverifikasi dan memvalidasi hasil pendataan untuk data terpadu.,182
129,2025,Keputusan Direktur Jaminan Sosial Nomor 59/3.4/HK.01/1/2025,PKH,Berapa besar bantuan bagi korban pelanggaran HAM dalam program PKH?,Korban pelanggaran ham berat mendapatkan bantuan sebesar Rp10.800.000 setiap tahun atau Rp2.700.000 tiap tiga bulan.,183
130,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Apakah pelanggan dengan kapasitas daya listrik minimal 2200 VA layak mendapat bantuan sosial?,Pelanggan dengan kapasitas daya listrik minimal 2200 va tidak layak mendapat bantuan sosial.,185
131,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Berapa lama dana PKH harus diterima setelah transfer dari kas negara atau daerah?,Dana harus diterima dalam waktu 30 hari setelah ditransfer dari kas negara atau daerah ke bank penyalur.,185
132,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Tim Koordinasi Teknis PKH terdiri dari apa dalam mendukung pelaksanaan PKH?,"Tim koordinasi teknis PKH terdiri atas tiga level koordinasi pusat, daerah provinsi, dan daerah kabupaten kota.",186
133,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,DJSN menyampaikan usulan anggaran jaminan kesehatan bagi PBI kepada siapa?,Djsn menyampaikan usulan anggaran jaminan kesehatan bagi PBI kepada kementerian kesehatan untuk ditindaklanjuti.,186
134,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa itu Kartu Kombo?,"Kartu kombo adalah instrumen pembayaran yang memiliki fitur uang elektronik dan tabungan, digunakan sebagai media penyaluran berbagai bantuan sosial PKH termasuk KKS.",186
135,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Apakah masyarakat dengan gaji di atas UMK atau UMP layak mendapat bantuan sosial?,Masyarakat dengan gaji di atas UMK atau UMP dari BPJS ketenagakerjaan tidak layak mendapat bantuan sosial.,187
136,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Pengawasan PKH dilakukan oleh siapa?,Pengawasan PKH dilakukan oleh menteri bersama kementerian lembaga terkait. Gubernur dan bupati atau wali kota melakukan pembinaan sesuai kewenangannya.,187
137,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa itu PKH Akses?,"PKH akses adalah program bantuan sosial PKH untuk wilayah sulit dijangkau seperti wilayah pesisir, pulau kecil, daerah tertinggal, terpencil, dan perbatasan antarnegara.",187
138,2025,,ATENSI,"Jika anak yatim piatu atau YAPI di bawah 17 tahun tidak ada pengampu, apakah bisa tetap menerima bantuan?",Tidak bisa. Untuk mengajukan bantuan YAPI diperlukan adanya pengurus atau pengampu.,188
139,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu Lembaga Kesejahteraan Sosial atau LKS?,"Lks adalah organisasi atau perkUMPulan sosial yang menyelenggarakan kesejahteraan sosial, dibentuk oleh masyarakat, berbadan hukum atau tidak.",188
140,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa itu PKH PKH?,PKH adalah bantuan sosial bersyarat untuk keluarga atau individu miskin dan rentan yang terdaftar dalam data terpadu penanganan fakir miskin dan ditetapkan sebagai KPM PKH.,188
141,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa itu Bantuan ATENSI Anak Yatim Piatu pada program ATENSI?,Bantuan atensi anak yatim piatu adalah bantuan yang diberikan kepada anak yatim piatu dengan besaran sesuai ketentuan pemerintah.,189
142,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa itu DTKS atau DTKS?,"DTKS adalah data induk yang berisi data penerima pelayanan kesejahteraan sosial, bantuan, perlindungan, jaminan sosial, serta potensi dan sumber kesejahteraan sosial.",189
143,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Bagaimana peran perbaikan data di antara bulan penyaluran dalam cara penyaluran bantuan sosial?,Perbaikan data di antara bulan penyaluran digunakan untuk memperbaiki data penyaluran yang ada.,190
144,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Apakah tenaga kesehatan layak mendapatkan bantuan sosial?,Tenaga kesehatan yang terdaftar di direktorat jenderal tenaga kesehatan kementerian kesehatan tidak layak mendapatkan bantuan sosial.,190
145,2025,,DTKS,Apa syarat masuk DTKS?,"Masyarakat belum ada di dalam DTKS, belum terdaftar sebagai penerima atau calon penerima bantuan sosial, dan memiliki data kependudukan yang padan dengan data Dukcapil.",190
146,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Bagaimana cara pencairan dana PKH bagi lansia bedridden dan penyandang disabilitas berat?,Dana PKH disalurkan dengan pengantaran langsung ke alamat KPM atau pengambilan di kantor pos penyalur.,191
147,2025,,PENA,"Bagaimana jika KPM dicatat sebagai graduasi, padahal menurut pendamping tidak?",Hal itu bisa terjadi karena ada anggota keluarga lain dalam KK yang menerima bantuan lain seperti program vokasi.,191
148,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,Siapa yang bertanggung jawab memperbarui DTKS yang telah ditetapkan?,"Unit kerja eselon i di Kemensos, kementerian lembaga, pemerintah daerah, dan masyarakat bertanggung jawab memperbarui DTKS.",191
149,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa itu Bank atau Pos Penyalur?,Bank atau pos penyalur adalah bank atau pos mitra kerja tempat membuka rekening satuan kerja untuk menampung dana bantuan sosial yang disalurkan kepada KPM PKH.,191
150,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa itu belanja bantuan sosial?,"Belanja bantuan sosial adalah pengeluaran berupa transfer uang, barang, atau jasa untuk melindungi masyarakat dari risiko sosial dan meningkatkan kesejahteraan.",191
151,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,Apa kewajiban pengguna DTKS?,"Pengguna DTKS harus mematuhi ketentuan berita acara serah terima, tidak menyebarkan data ke pihak ketiga, dan menjaga keamanan data dari penggunaan yang tidak sah.",191
152,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Bagaimana cara mengecek status pengusulan atau penghapusan PBI jaminan kesehatan?,Status pengusulan dan penghapusan PBI jaminan kesehatan dapat di cek di SIKSNG pada menu PBI jaminan kesehatan.,192
153,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 7 Tahun 2023,PENA,Apa itu Direktur Jenderal Pemberdayaan Sosial?,Direktur jenderal pemberdayaan sosial adalah pejabat yang bertanggung jawab merumuskan dan melaksanakan kebijakan pemberdayaan sosial di Kemensos.,192
154,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu KPM Pengganti pada program permakanan lansia?,"KPM pengganti adalah lansia yang menggantikan KPM utama jika yang utama meninggal, pindah, menolak, atau tidak memenuhi kriteria.",182
155,2024,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 95/5/SK/HK.01/04/2024,BPNT,Apa ketentuan dalam penambahan data KPM Program Sembako?,Penambahan data KPM program sembako hanya untuk calon penerima yang terdaftar di DTKS dan tidak melebihi kuota nasional program sembako.,192
156,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa itu Berita Acara Serah Terima Data?,Berita acara serah terima data adalah dokumen tertulis yang memuat penyerahan daftar penerima bantuan sosial PKH sebagai dasar pembukaan rekening KPM PKH.,193
157,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Apa itu Rehabilitasi RLH?,Rehabilitasi RLH adalah proses memperbaiki rumah tidak layak huni menjadi layak huni secara gotong royong bagi KPM yang terdata dalam DTKS atau keluarga miskin ekstrem.,193
158,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa peran pemerintah daerah dalam mendukung pelaksanaan Program PENA?,"Pemerintah daerah mendukung program pena melalui pemerintah provinsi, kabupaten kota, dan kecamatan atau kelurahan atau desa.",194
159,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu biaya operasional pelaksana bantuan program permakanan?,Biaya operasional pelaksana bantuan permakanan adalah biaya untuk membiayai operasional pelaksanaan bantuan permakanan oleh pokmas.,194
160,2025,,DTKS,"Bagaimana jika penerima bantuan pindah ke kabupaten kota lain, apakah bantuannya ikut pindah?","Ya, jika data sudah dipadankan dengan dukcapil, maka bantuan akan mengikuti domisili terbaru penerima.",195
161,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,Apa yang terjadi jika unit kerja tidak menyampaikan laporan penggunaan DTKS?,Unit kerja yang tidak menyampaikan laporan penggunaan DTKS tidak dapat mengajukan permohonan penggunaan DTKS berikutnya.,196
162,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Berapa besaran bantuan yang diberikan dalam Program RST RST?,Bantuan program RST sebesar Rp20.000.000 per rumah. Bantuan untuk renovasi rumah agar layak huni dan mendukung fasilitas usaha di rumah.,196
163,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Siapa yang menetapkan kriteria fakir miskin dan orang tidak mampu pada program PBI?,Kriteria fakir miskin dan orang tidak mampu ditetapkan oleh menteri setelah koordinasi dengan kementerian terkait.,197
164,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,Apa itu pengendalian atau penjaminan kualitas data?,"Pengendalian atau penjaminan kualitas data adalah aktivitas untuk memperbaiki, mempertahankan, dan mencapai kualitas data secara berkesinambungan.",197
165,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa itu Daftar Penerima bantuan sosial PKH?,"Daftar penerima bantuan sosial PKH berisi nama KPM, alamat, NIK, nomor rekening atau giropos, kategori bantuan, dan jumlah bantuan yang diterima tiap KPM.",197
166,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana proses evaluasi PKH dilakukan?,"Evaluasi dilakukan berkala oleh menteri, gubernur, dan bupati atau wali kota. Hasil evaluasi menjadi dasar perencanaan dan perbaikan program tahun berikutnya.",198
167,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa itu rekening KPM pada program ATENSI?,Rekening KPM adalah rekening atas nama KPM yang dibuka oleh bank penyalur berdasarkan data dari direktorat rehabilitasi sosial anak sesuai ketentuan berlaku.,198
168,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa itu Bantuan ATENSI?,"Bantuan atensi adalah bantuan nontunai untuk KPM yang dilaksanakan dengan prinsip kemandirian, ketepatan, profesionalisme, kebermanfaatan, nondiskriminatif, dan akuntabilitas.",198
169,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Apa standar yang harus diperhatikan penerima bantuan dalam melaksanakan rehabilitasi rumah?,Rehabilitasi rumah wajib memenuhi standar keselamatan dan kesehatan serta dilakukan secara bergotong royong.,199
170,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Data terpadu PBI yang ditetapkan berdasarkan provinsi dan kabupaten kota digunakan untuk apa?,Data terpadu yang ditetapkan berdasarkan provinsi dan kabupaten kota digunakan untuk menentukan jumlah PBI.,200
171,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Apa itu musyawarah desa kelurahan atau musdes muskel?,"Musyawarah desa atau kelurahan adalah pertemuan antara badan permusyawaratan desa, pemerintah desa, dan masyarakat untuk menyepakati hal strategis.",200
172,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu Pekerja Sosial Masyarakat atau PSM?,"Psm adalah warga yang memiliki jiwa pengabdian sosial, kemauan, dan kemampuan dalam kesejahteraan sosial, serta telah mengikuti pelatihan di bidang tersebut.",200
173,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Siapa yang termasuk dalam komponen kesejahteraan sosial dalam PKH?,Komponen kesejahteraan sosial mencakup lansia dengan usia 60 tahun ke atas dan penyandang disabilitas yang tercatat dalam satu KK.,196
174,2024,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 95/5/SK/HK.01/04/2024,BPNT,Bantuan Program Sembako apa yang dapat diterima oleh setiap KPM?,Bantuan disalurkan tunai atau non tunai melalui bank atau pos. KPM program sembako juga dapat menerima bantuan sosial lain dari Kemensos.,201
175,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu Rekening Penyaluran Dana Bantuan atau RPL DB?,RPL db adalah rekening giro pemerintah atas nama direktorat rehabilitasi sosial lansia untuk menampung dan menyalurkan dana bantuan permakanan.,196
176,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa itu kas negara?,Kas negara adalah tempat penyimpanan uang negara yang ditetapkan menteri keuangan sebagai bendahara negara untuk menampung seluruh penerimaan dan membayar seluruh pengeluaran negara.,201
177,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa komponen utama persyaratan agar seseorang dapat menerima bantuan PKH?,"Seseorang dapat menerima PKH jika memenuhi minimal satu dari tiga komponen utama kesehatan, pendidikan, atau kesejahteraan sosial.",203
178,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Siapa yang termasuk dalam kategori komponen kesehatan dalam PKH?,Komponen kesehatan meliputi ibu hamil dan anak usia dini 0 sampai 6 tahun yang belum bersekolah. Jumlah penerima dibatasi sesuai kebijakan.,203
179,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Bagaimana penghapusan NIK ganda dilakukan pada DTKS?,"Penghapusan data ganda dilakukan otomatis jika sistem mendeteksi NIK sama lebih dari satu, atau manual untuk data ganda yang tidak terdeteksi otomatis.",203
180,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,Dalam kondisi apa DTKS dapat diberikan kepada pihak ketiga?,"DTKS dapat diberikan kepada pihak ketiga jika berupa hasil olahan DTKS, disajikan dalam bentuk deskripsi statistik, dan mencantumkan sumber data.",204
181,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa itu kartu ATENSI?,"Kartu atensi adalah kartu debit yang diterbitkan oleh bank penyalur untuk anak yatim piatu. Kartu ini digunakan untuk menarik dana bantuan melalui teller, ATM, atau agen bank penyalur.",205
182,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 7 Tahun 2023,PENA,Apa itu risiko sosial?,"Risiko sosial adalah kejadian yang menyebabkan kerentanan sosial pada individu, keluarga, kelompok, atau masyarakat akibat krisis sosial, ekonomi, politik, bencana, atau fenomena alam.",206
183,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,Apa yang dimaksud dengan perubahan substantif dan administratif dalam DTKS?,"Perubahan substantif DTKS meliputi penghapusan, penggantian, atau penambahan data. Perubahan administratif adalah perbaikan data DTKS.",209
184,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana KPM KPM ditetapkan dalam PKH?,"KPM ditetapkan berdasarkan validasi data, verifikasi komitmen, dan pemutakhiran data melalui keputusan direktur pelaksana PKH untuk memastikan penerima memenuhi kriteria.",209
185,2025,,DTKS,Bagaimana cara jika ada KPM yang sudah ditidaklayakkan tetapi bantuan sosialnya masih cair?,"Penidaklayakan akan berlaku pada periode SK berikutnya, sehingga bantuan sosial akan berhenti pada periode selanjutnya.",210
186,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana pelaksanaan pemutakhiran sosial ekonomi dilakukan?,Pendataan ulang dan evaluasi dilakukan bersama lembaga lain dengan bantuan pendamping sosial dan administrator data di daerah untuk memastikan akurasi.,211
